Type;Folder;File;Error
Video;Sebastien;20230115_125000.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230115_184700.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230122_100200.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230124_180400.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230125_122900.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230125_175600.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230125_175700.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230125_180000.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230126_090000.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230126_180001.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230127_174000.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230127_184100.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230129_100200.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230204_090000.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230209_090001.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230209_174700.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230211_182700.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230212_141300.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230212_180500.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230212_181100.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230215_085200.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230215_090000.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230218_154800.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230218_174800.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230227_161800.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230227_161900.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230305_185800.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230306_183900.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230308_182300.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230309_170600.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230309_183300.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230313_185500.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230314_170800.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230318_180600.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230407_134200.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230408_184600.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230424_192900.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230426_183600.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230501_095000.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230501_133300.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230501_151500.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230518_090000.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230518_090001.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230519_153100.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230520_094500.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230521_104600.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230526_110300.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230526_153000.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230526_164400.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230527_183900.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230529_181800.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230531_172900.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230604_102200.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230617_115600.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230617_172600.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230618_095600.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230619_144900.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230619_190600.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230622_174300.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230623_172800.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230701_075600.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230701_075800.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230731_182200.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230803_163600.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230803_165500.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230805_095600.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230805_155800.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230805_160200.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230806_111000.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230806_180400.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230807_170800.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230807_171200.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230809_183000.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230826_090000.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230826_090001.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230911_190700.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230914_192300.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230918_191300.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230918_191301.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230918_191400.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230927_175300.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20230930_105600.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20231002_184500.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20231002_184800.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20231002_185800.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20231014_184500.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20231025_173200.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20231104_171600.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20231111_170700.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20231112_122700.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20231113_193100.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20231118_150000.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20231119_152300.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20231120_072900.mp4;[WinError 2] The system cannot find the file specified
